timestamp,%,open,high,low,close,vol,vol_20d_MA,BB_1,BB_2,BB_3,Ichimoku _1,Ichimoku_2,Ichimoku_3,Ichimoku_4,Ichimoku_5,SAR,OBV,ADX,MACD_1,MACD_2,MACD_3,Stoch_RSI_1,Stoch_RSI_2,Klinger_Oscillator_1,Klinger_Oscillator_2,CMF
1993-01-29 14:30,None,43.9688,43.96899,43.75,43.938,1003200,None,None,None,None,None,None,43.938,None,None,None,None,None,None,None,None,None,None,None,None,None
1993-02-01 14:30,0.71,43.96875,44.25,43.96875,44.25,480500,None,None,None,None,None,None,44.25,None,None,43.76,480500,None,None,None,None,None,None,None,None,None
1993-02-02 14:30,0.21,44.21875,44.375,44.125,44.34375,201300,None,None,None,None,None,None,44.34375,None,None,43.7846,681800,None,None,None,None,None,None,None,None,None
1993-02-03 14:30,1.06,44.40625,44.84375,44.375,44.8125,529400,None,None,None,None,None,None,44.8125,None,None,43.848149,1211200,None,None,None,None,None,None,None,None,None
1993-02-04 14:30,0.42,44.96875,45.09375,44.875,45,531500,None,None,None,None,None,None,45,None,None,43.94779708,1742700,None,None,None,None,None,None,None,None,None
1993-02-05 14:30,-0.07,44.96875,45.0625,44.71875,44.96875,492100,None,None,None,None,None,None,44.96875,None,None,44.03947331,1250600,None,None,None,None,None,None,None,None,None
1993-02-08 14:30,0,44.96875,45.125,44.90625,44.96875,596100,None,None,None,None,None,None,44.96875,None,None,44.14802598,1250600,None,None,None,None,None,None,None,None,None
1993-02-09 14:30,-0.69,44.8125,44.8125,44.5625,44.65625,122100,None,None,None,None,None,None,44.65625,None,None,44.24572338,1128500,None,None,None,None,None,None,None,None,None
1993-02-10 14:30,0.14,44.65625,44.75,44.53125,44.71875,379600,None,None,None,None,44.4375,None,44.71875,None,None,44.33365105,1508100,None,None,None,None,None,None,None,None,None
1993-02-11 14:30,0.49,44.78125,45.125,44.78125,44.9375,19500,None,None,None,None,44.546875,None,44.9375,None,None,44.41278594,1527600,None,None,None,None,None,None,None,None,None
1993-02-12 14:30,-0.76,44.875,44.875,44.59375,44.59375,42500,None,None,None,None,44.625,None,44.59375,None,None,44.48400735,1485100,None,None,None,None,None,None,None,None,None
1993-02-16 14:30,-2.52,44.46875,44.46875,43.40625,43.46875,374800,None,None,None,None,44.265625,None,43.46875,None,None,45.125,1110300,None,None,None,None,None,None,None,None,None
